,Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total,RootPosition
1247,"2,3,4,5,6 December 2017 - day/night match ",2017/18,2285,Adelaide Oval,2,JM Vince,2,10.0,18,0,29,6.6,34,JE Root (c),9.0,10.0,23,0.0,31.0,10.4,128,227.0,4
1249,"2,3,4,5,6 December 2017 - day/night match ",2017/18,2285,Adelaide Oval,4,JM Vince,15,39.0,60,0,53,19.5,85,JE Root (c),67.0,123.0,185,0.0,54.0,23.3,103,233.0,4
1258,"14,15,16,17,18 Decmeber 2017 ",2017/18,2288,"W.A.C.A. Ground, Perth",1,JM Vince,25,63.0,92,0,26,4.4,22,JE Root (c),20.0,23.0,36,0.0,89.0,25.3,178,403.0,4
1260,"14,15,16,17,18 Decmeber 2017 ",2017/18,2288,"W.A.C.A. Ground, Perth",3,JM Vince,55,95.0,117,0,4,1.5,9,JE Root (c),14.0,20.0,34,0.0,29.0,7.3,126,218.0,4
1262,"26,27,28,29,30 December 2017 ",2017/18,2289,Melbourne Cricket Ground,2,JM Vince,17,37.0,53,0,35,11.3,49,JE Root (c),61.0,133.0,193,0.0,80.0,24.1,634,491.0,4
1267,"4,5,6,7,8 January 2018 ",2017/18,2291,Sydney Cricket Ground,1,JM Vince,25,54.0,82,0,28,9.5,45,JE Root (c),83.0,141.0,225,0.0,88.0,28.5,143,346.0,4
1269,"4,5,6,7,8 January 2018 ",2017/18,2291,Sydney Cricket Ground,3,JM Vince,18,51.0,74,0,5,2.6,15,JE Root (c),58.0,167.0,236,0.0,15.0,5.5,89,180.0,4
1297,"22,23,24,25,26 March 2018 - day/night match ",2017/18,2299,"Eden Park, Auckland",1,JE Root (c),0,6.0,9,0,6,4.2,16,DJ Malan,2.0,6.0,9,0.0,6.0,6.2,41,58.0,3
1299,"22,23,24,25,26 March 2018 - day/night match ",2017/18,2299,"Eden Park, Auckland",3,JE Root (c),51,131.0,191,0,6,2.5,11,DJ Malan,23.0,62.0,96,0.0,94.0,29.4,202,320.0,3
1304,"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",1,JM Vince,18,41.0,61,0,6,2.4,9,JE Root (c),37.0,63.0,80,0.0,38.0,16.1,160,307.0,4
1306,"30, 31 March, 01, 02, 03 April 2018 ",2017/18,2301,"Hagley Oval, Christchurch",3,JM Vince,76,128.0,179,0,24,8.4,32,JE Root (c),54.0,128.0,182,0.0,147.0,46.2,185,352.0,4
1316,"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",1,JE Root (c),4,24.0,46,0,12,3.6,17,DJ Malan,6.0,3.0,10,0.0,33.0,13.5,221,184.0,3
1318,"24,25,26,27 May 2018 ",2018,2304,"Lord's, London",3,JE Root (c),68,120.0,187,0,1,1.5,8,DJ Malan,12.0,50.0,83,0.0,31.0,16.5,195,242.0,3
1321,"1,2,3 June 2018 ",2018,2305,"Headingley, Leeds",2,JE Root (c),45,72.0,117,0,53,16.6,74,DM Bess,49.0,95.0,147,0.0,104.0,34.5,153,363.0,3
1353,"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",1,JE Root (c),80,156.0,243,0,26,8.5,38,DJ Malan,8.0,14.0,23,0.0,98.0,35.1,281,287.0,3
1355,"1,2,3,4 August 2018 ",2018,2314,"Edgbaston, Birmingham",3,JE Root (c),14,35.0,48,0,9,3.4,14,DJ Malan,20.0,64.0,81,0.0,18.0,7.4,62,180.0,3
1358,"9,10,11,12 August 2018 ",2018,2315,"Lord's, London",2,JE Root (c),19,53.0,82,0,28,7.3,37,OJ Pope,28.0,38.0,60,0.0,32.0,8.2,119,396.0,3
1361,"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",2,JE Root (c),16,29.0,68,0,54,11.6,55,OJ Pope,10.0,22.0,34,0.0,54.0,12.1,123,161.0,3
1363,"18,19,20,21,22 August 2018 ",2018,2316,"Trent Bridge, Nottingham",4,JE Root (c),13,40.0,71,0,27,9.5,46,OJ Pope,16.0,39.0,63,0.0,32.0,11.6,117,317.0,3
1364,"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",1,JE Root (c),4,14.0,26,0,1,2.1,10,JM Bairstow,6.0,16.0,33,0.0,15.0,7.1,92,246.0,3
1366,"30,31 August, 01,02 September 2018 ",2018,2317,"The Rose Bowl, Southampton",3,MM Ali,9,15.0,19,0,24,12.1,49,JE Root (c),48.0,88.0,140,0.0,33.0,15.4,138,271.0,4
1368,"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",1,MM Ali,50,170.0,251,0,60,23.1,99,JE Root (c),0.0,3.0,4,0.0,133.0,63.2,265,332.0,4
1370,"07,08,09,10,11 September 2018 ",2018,2318,"Kennington Oval, London",3,MM Ali,20,52.0,69,0,27,12.4,55,JE Root (c),125.0,190.0,264,0.0,62.0,27.4,389,423.0,4
1390,"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,1,MM Ali,0,1.0,,0,10,2.3,,JE Root (c),35.0,46.0,,0.0,10.0,2.4,,342.0,4
1392,"6,7,8,9 November 2018 ",2018/19,2324,Galle International Stadium,3,MM Ali,3,11.0,,0,60,22.6,,JE Root (c),3.0,19.0,,0.0,67.0,26.3,,322.0,4
1398,"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,1,BA Stokes,19,27.0,,0,12,4.3,,JE Root (c),14.0,23.0,,0.0,49.0,13.2,,290.0,4
1400,"14, 15, 16, 17, 18 November 2018 ",2018/19,2326,Pallekele International Cricket Stadium,3,KK Jennings,26,54.0,,0,4,2.3,,JE Root (c),124.0,146.0,,0.0,77.0,19.1,,346.0,4
1410,"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",1,JM Bairstow,110,186.0,,0,22,7.5,,JE Root (c),46.0,79.0,,0.0,36.0,10.5,,336.0,4
1412,"23.24.25,26 November 2018 ",2018/19,2329,"Sinhalese Sports Club Ground, Colombo",3,JM Bairstow,15,31.0,,0,3,4.1,,JE Root (c),7.0,9.0,,0.0,20.0,10.1,,230.0,4
