,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
75,"21,22,23,24 July 2010 ",2010,1965,"Headingley, Leeds",4,Azhar Ali,51,108.0,146,0,27,5.1,180
76,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",1,KC Sangakkara (c),219,335.0,399,0,99,18.1,642
77,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",2,R Dravid,3,18.0,19,0,165,36.1,707
78,"26,27,28,29,30 July 2010 ",2010,1966,"Sinhalese Sports Club Ground, Colombo",3,KC Sangakkara (c),42,114.0,135,1,50,8.1,129
79,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",1,IJL Trott,38,67.0,114,0,42,8.4,354
80,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",2,Azhar Ali,14,48.0,64,0,5,4.4,182
81,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",3,IJL Trott,26,55.0,117,0,2,0.4,262
82,"29,30,31 July, 1 August 2010 ",2010,1967,"Trent Bridge, Nottingham",4,Azhar Ali,0,2.0,2,0,10,3.1,80
83,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",1,KC Sangakkara (c),75,114.0,173,0,15,3.6,425
84,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",2,R Dravid,23,26.0,34,0,49,10.4,436
85,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",3,KC Sangakkara (c),28,49.0,79,0,32,9.5,267
86,"3,4,5,6,7 August 2010 ",2010,1968,"P Sara Oval, Colombo",4,R Dravid,7,22.0,32,0,10,1.5,258
87,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",1,Azhar Ali,0,32.0,53,0,8,7.5,72
88,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",2,IJL Trott,55,125.0,229,0,44,11.3,251
89,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",3,Azhar Ali,19,82.0,127,0,1,2.6,296
90,"6,7,8,9 August 2010 ",2010,1969,"Edgbaston, Birmingham",4,IJL Trott,53,101.0,138,1,7,2.4,118
91,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",1,IJL Trott,12,34.0,61,0,9,1.6,233
92,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",2,Wahab Riaz,27,75.0,115,0,48,17.3,308
93,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",3,JM Anderson,11,30.0,49,0,4,0.4,222
94,"18,19,20,21 August 2010 ",2010,1970,"Kennington Oval, London",4,Salman Butt (c),48,64.0,90,0,5,0.5,148
95,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",1,IJL Trott,184,383.0,554,0,31,11.1,446
96,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",2,Salman Butt (c),26,58.0,85,0,9,3.3,74
97,"26,27,28,29 August 2010 ",2010,1971,"Lord's, London",3,Salman Butt (c),21,45.0,54,0,7,3.4,147
98,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,RT Ponting (c),71,124.0,154,0,13,4.2,428
99,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,R Dravid,77,134.0,205,0,81,13.2,405
100,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,RT Ponting (c),4,4.0,4,0,87,18.1,192
101,"1,2,3,4,5 October 2010 ",2010/11,1972,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,R Dravid,13,28.0,34,0,0,0.4,216
102,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",1,RT Ponting (c),77,147.0,204,0,99,27.5,478
103,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",2,R Dravid,1,7.0,7,0,37,8.2,495
104,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",3,RT Ponting (c),72,117.0,170,0,58,16.4,223
105,"9,10,11,12,13 October 2010 ",2010/11,1973,"M.Chinnaswamy Stadium, Bengaluru",4,CA Pujara,72,89.0,129,0,17,2.2,207
106,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1,R Dravid,104,227.0,274,0,60,11.6,487
107,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2,BJ Watling,6,22.0,29,0,8,2.4,459
108,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",3,R Dravid,1,16.0,19,0,0,0.3,266
109,"4,5,6,7,8 November 2010 ",2010/11,1974,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",4,BJ Watling,2,26.0,34,1,4,0.6,22
110,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,MJ Guptill,85,160.0,203,0,4,3.2,350
111,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,R Dravid,45,144.0,202,0,160,40.5,472
112,"12,13,14,15,16 November 2010 ",2010/11,1975,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,MJ Guptill,18,67.0,67,0,125,35.4,448
113,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,1,HM Amla,80,152.0,178,0,153,41.1,380
114,"12,13,14,15,16 November 2010 ",2010/11,1976,Dubai International Cricket Stadium,2,Azhar Ali,56,172.0,236,0,105,33.2,248
