Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",1,SPD Smith,199,361.0,513,0,0,0.3,3,MJ Clarke (c),47,107.0,143,0.0,16.0,4.6,516,399
"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",2,DM Bravo,14,23.0,36,0,1,2.4,11,SO Dowrich,13,31.0,50,0.0,9.0,7.6,47,220
"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",3,SPD Smith,54,83.0,97,1,117,36.3,149,MJ Clarke (c),14,44.0,57,1.0,163.0,49.6,188,212
"11,12,13,14 June 2015 ",2015,2166,"Sabina Park, Kingston, Jamaica",4,DM Bravo,11,49.0,67,0,0,0.3,2,SO Dowrich,4,31.0,45,0.0,1.0,0.6,69,114
"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,1,KC Sangakkara,50,106.0,145,0,30,12.2,58,HDRL Thirimanne,8,17.0,31,0.0,142.0,49.3,445,300
"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,2,Azhar Ali,8,19.0,40,0,2,0.6,5,Younis Khan,47,79.0,101,0.0,11.0,2.4,45,417
"17,18,19,20,21 June 2015 ",2015,2167,Galle International Stadium,3,KC Sangakkara,18,27.0,44,0,18,8.4,41,MDK Perera,0,6.0,9,0.0,63.0,19.1,271,206
"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",1,Azhar Ali,26,45.0,68,0,5,2.1,12,Younis Khan,6,38.0,42,0.0,51.0,15.1,147,138
"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",2,KC Sangakkara,34,70.0,89,0,47,22.1,107,HDRL Thirimanne,7,39.0,40,0.0,98.0,43.2,325,315
"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",3,Azhar Ali,117,308.0,511,0,9,3.1,14,Younis Khan,40,67.0,106,0.0,129.0,47.1,525,329
"25,26,27,28,29 June 2015 ",2015,2168,"P Sara Oval, Colombo",4,KC Sangakkara,0,1.0,1,0,49,6.6,27,AD Mathews (c),43,57.0,87,1.0,49.0,7.1,93,153
"3,4,5,6,7 July 2015 ",2015,2169,Pallekele International Cricket Stadium,1,WU Tharanga,46,92.0,138,0,15,4.3,19,HDRL Thirimanne,11,30.0,45,0.0,106.0,34.5,349,278
"3,4,5,6,7 July 2015 ",2015,2169,Pallekele International Cricket Stadium,2,Azhar Ali,52,96.0,150,0,32,8.5,43,Younis Khan,3,24.0,28,0.0,40.0,11.3,193,215
"3,4,5,6,7 July 2015 ",2015,2169,Pallekele International Cricket Stadium,3,WU Tharanga,48,47.0,93,0,12,6.2,30,HDRL Thirimanne,0,11.0,24,0.0,22.0,7.5,123,313
"3,4,5,6,7 July 2015 ",2015,2169,Pallekele International Cricket Stadium,4,Azhar Ali,5,14.0,25,0,0,1.3,7,Younis Khan,171,271.0,428,1.0,13.0,6.6,337,382
"8,9,10,11 July 2015 ",2015,2170,"Sophia Gardens, Cardiff",1,GS Ballance,61,149.0,223,0,7,1.6,7,IR Bell,1,7.0,5,0.0,42.0,13.2,230,430
"8,9,10,11 July 2015 ",2015,2170,"Sophia Gardens, Cardiff",2,SPD Smith,33,56.0,78,0,52,14.3,62,MJ Clarke (c),38,52.0,82,0.0,129.0,32.6,182,308
"8,9,10,11 July 2015 ",2015,2170,"Sophia Gardens, Cardiff",3,GS Ballance,0,7.0,14,0,17,6.6,30,IR Bell,60,89.0,129,0.0,22.0,9.6,86,289
"8,9,10,11 July 2015 ",2015,2170,"Sophia Gardens, Cardiff",4,SPD Smith,33,49.0,77,0,19,9.4,45,MJ Clarke (c),4,13.0,24,0.0,97.0,26.3,118,242
"16,17,18,19 July 2015 ",2015,2171,"Lord's, London",1,SPD Smith,215,346.0,503,0,78,14.6,70,MJ Clarke (c),7,32.0,49,0.0,362.0,95.4,573,566
"16,17,18,19 July 2015 ",2015,2171,"Lord's, London",2,GS Ballance,23,31.0,36,0,0,0.2,1,IR Bell,1,2.0,3,0.0,28.0,8.3,347,312
"16,17,18,19 July 2015 ",2015,2171,"Lord's, London",3,SPD Smith,58,48.0,67,0,165,36.2,111,MJ Clarke (c),32,34.0,47,1.0,210.0,42.5,152,254
"16,17,18,19 July 2015 ",2015,2171,"Lord's, London",4,GS Ballance,14,33.0,57,0,12,4.3,19,IR Bell,11,50.0,77,0.0,23.0,8.4,76,103
"21,22,23,24,25 July 2015 ",2015,2172,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,F du Plessis,48,122.0,149,0,58,13.4,59,HM Amla (c),13,28.0,47,0.0,136.0,46.5,204,248
"21,22,23,24,25 July 2015 ",2015,2172,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Mominul Haque,6,14.0,13,0,46,18.2,81,Mahmudullah,67,138.0,192,0.0,55.0,21.5,236,326
"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",1,SPD Smith,7,18.0,26,0,7,2.2,12,MJ Clarke (c),10,10.0,16,0.0,18.0,7.6,153,136
"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",2,IR Bell,53,56.0,96,0,19,7.3,30,JE Root,63,75.0,113,0.0,76.0,17.2,126,281
"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",3,SPD Smith,8,27.0,40,0,17,3.2,15,MJ Clarke (c),3,19.0,20,0.0,62.0,12.2,138,265
"29,30,31 July 2015 ",2015,2173,"Edgbaston, Birmingham",4,IR Bell,65,90.0,120,1,11,4.1,18,JE Root,38,63.0,89,1.0,51.0,11.1,138,124
"30,31 July, 1,2,3 August 2015 ",2015,2174,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mominul Haque,40,87.0,111,0,12,4.3,19,Mahmudullah,35,91.0,141,0.0,81.0,31.4,140,246
"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",1,SPD Smith,6,3.0,2,0,4,0.3,2,SE Marsh,0,4.0,9,0.0,10.0,0.6,7,60
"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",2,IR Bell,1,6.0,12,0,32,11.2,47,JE Root,130,176.0,246,0.0,34.0,13.4,122,391
"6,7,8 August 2015 ",2015,2175,"Trent Bridge, Nottingham",3,SPD Smith,5,9.0,20,0,113,23.6,105,SE Marsh,2,6.0,8,0.0,130.0,25.6,115,253
"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,1,HDRL Thirimanne,13,38.0,65,0,15,6.5,34,KC Sangakkara,5,12.0,24,0.0,15.0,7.1,99,183
"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,2,RG Sharma,9,24.0,33,0,14,2.6,13,V Kohli (c),103,191.0,266,0.0,28.0,9.3,370,375
"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,3,KTGD Prasad,3,12.0,14,0,0,0.5,2,KC Sangakkara,40,70.0,105,0.0,1.0,1.5,16,367
"12,13,14,15 August 2015 ",2015,2176,Galle International Stadium,4,I Sharma,10,23.0,44,0,12,4.3,19,RG Sharma,4,16.0,16,0.0,30.0,14.1,119,112
"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",1,AM Rahane,4,11.0,18,0,4,0.4,3,V Kohli (c),78,107.0,178,0.0,12.0,4.3,268,393
"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",2,KC Sangakkara,32,87.0,110,0,1,1.1,6,HDRL Thirimanne,62,168.0,269,0.0,75.0,25.5,207,306
"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",3,AM Rahane,126,243.0,331,0,3,0.5,4,V Kohli (c),10,19.0,33,0.0,143.0,44.5,335,325
"20,21,22,23,24 August 2015 ",2015,2177,"P Sara Oval, Colombo",4,KC Sangakkara,18,18.0,29,0,8,2.4,9,AD Mathews (c),23,39.0,49,0.0,33.0,8.5,177,134
"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",1,SPD Smith,143,252.0,387,0,110,33.2,149,MJ Clarke (c),15,29.0,42,0.0,161.0,45.1,536,481
"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",2,IR Bell,10,42.0,67,0,30,7.1,30,JE Root,6,39.0,59,0.0,46.0,12.2,97,149
"20,21,22,23 August 2015 ",2015,2178,"Kennington Oval, London",3,IR Bell,13,40.0,57,0,19,12.1,49,JE Root,11,30.0,52,0.0,62.0,25.3,330,286
"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",1,AM Rahane,8,13.0,16,0,2,0.2,1,V Kohli (c),18,60.0,96,0.0,14.0,3.4,456,312
"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",2,FDM Karunaratne,11,37.0,70,0,11,4.5,25,LD Chandimal,23,27.0,35,0.0,11.0,5.2,95,201
"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",3,AM Rahane,4,17.0,25,0,0,0.2,1,V Kohli (c),21,63.0,87,0.0,2.0,3.2,26,274
"28,29,30,31 August, 1 September 2015 ",2015,2179,"Sinhalese Sports Club Ground, Colombo",4,FDM Karunaratne,0,7.0,11,0,1,0.6,4,LD Chandimal,18,17.0,18,0.0,2.0,3.2,104,268
"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",1,Shoaib Malik,245,420.0,639,0,5,2.5,13,Younis Khan,38,57.0,72,0.0,173.0,54.2,652,523
"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",2,IR Bell,63,199.0,276,0,116,40.2,179,MA Wood,4,7.0,8,0.0,281.0,105.3,836,598
"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",3,Shoaib Malik,0,4.0,3,0,3,2.1,11,Younis Khan,45,114.0,175,0.0,3.0,2.5,81,173
"13,14,15,16,17 October 2015 ",2015/16,2180,"Sheikh Zayed Stadium, Abu Dhabi",4,JE Root,33,29.0,47,1,13,1.5,10,BA Stokes,2,4.0,5,0.0,29.0,4.4,57,74
"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,1,HDRL Thirimanne,16,62.0,87,0,56,17.6,92,LD Chandimal,151,298.0,386,0.0,101.0,40.6,482,484
"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,2,DM Bravo,50,107.0,158,0,33,7.3,37,MN Samuels,11,28.0,31,0.0,49.0,15.1,195,251
"14,15,16,17 October 2015 ",2015/16,2181,Galle International Stadium,3,DM Bravo,31,66.0,99,0,18,9.6,36,D Bishoo,10,25.0,28,0.0,60.0,23.3,135,227
"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",1,BKG Mendis,13,27.0,60,0,1,0.4,5,LD Chandimal,25,71.0,114,0.0,34.0,10.5,65,200
"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",2,D Bishoo,13,33.0,44,0,7,0.6,5,DM Bravo,2,17.0,23,0.0,33.0,10.1,163,163
"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",3,BKG Mendis,39,66.0,91,0,0,0.1,1,LD Chandimal,12,44.0,55,0.0,55.0,21.5,145,206
"22,23,24,25,26 October 2015 ",2015/16,2182,"P Sara Oval, Colombo",4,DM Bravo,61,134.0,155,0,20,8.6,38,MN Samuels,6,27.0,28,0.0,80.0,25.5,193,171
"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,1,Shoaib Malik,2,9.0,13,0,51,15.2,67,Younis Khan,56,115.0,166,0.0,58.0,18.4,120,378
"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,2,IR Bell,4,10.0,13,0,5,1.4,8,JE Root,88,141.0,227,0.0,14.0,4.1,161,242
"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,3,Shoaib Malik,7,13.0,23,0,1,2.4,14,Younis Khan,118,211.0,354,0.0,16.0,7.5,99,354
"22,23,24,25,26 October 2015 ",2015/16,2183,Dubai International Cricket Stadium,4,IR Bell,46,122.0,162,0,9,4.4,21,JE Root,71,171.0,218,0.0,19.0,9.4,183,312
"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,1,Shoaib Malik,38,91.0,115,0,5,2.3,12,Younis Khan,31,58.0,74,0.0,49.0,19.5,127,234
"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,2,IR Bell,40,158.0,217,0,19,8.4,34,JE Root,4,14.0,19,0.0,90.0,37.2,251,306
"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,3,Shoaib Malik,0,1.0,4,0,101,38.1,149,Younis Khan,14,39.0,53,0.0,105.0,39.1,371,355
"1,2,3,4,5 November 2015 ",2015/16,2184,Sharjah Cricket Stadium,4,IR Bell,0,6.0,7,0,34,11.6,49,JE Root,6,29.0,32,0.0,34.0,13.6,241,156
"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,UT Khawaja,174,239.0,374,0,161,38.5,180,SPD Smith (c),48,78.0,98,0.0,311.0,70.4,554,556
"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2,KS Williamson,140,178.0,292,0,56,17.1,72,LRPL Taylor,0,7.0,7,0.0,102.0,30.1,364,317
"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",3,UT Khawaja,9,11.0,24,1,237,37.4,156,SPD Smith (c),1,2.0,8,0.0,254.0,39.2,166,264
"5,6,7,8,9 November 2015 ",2015/16,2185,"Brisbane Cricket Ground, Woolloongabba, Brisbane",4,KS Williamson,59,74.0,127,0,44,22.3,100,LRPL Taylor,26,47.0,69,0.0,98.0,41.3,186,295
"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,CA Pujara,31,66.0,87,0,0,1.4,7,V Kohli (c),1,4.0,5,0.0,63.0,21.4,203,201
"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,F du Plessis,0,4.0,9,0,9,6.4,23,HM Amla (c),43,97.0,147,0.0,9.0,8.2,151,184
"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,CA Pujara,77,153.0,220,0,9,2.3,12,V Kohli (c),29,71.0,92,0.0,95.0,33.1,232,200
"5,6,7 November 2015 ",2015/16,2186,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,F du Plessis,1,6.0,4,0,8,1.1,4,HM Amla (c),0,6.0,6,0.0,9.0,2.2,66,109
"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",1,UT Khawaja,121,186.0,258,0,101,22.4,110,SPD Smith (c),27,68.0,91,0.0,403.0,86.2,409,559
"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",2,KS Williamson,166,250.0,384,0,6,2.1,9,LRPL Taylor,290,374.0,567,0.0,87.0,25.5,393,624
"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",3,SPD Smith (c),138,185.0,272,0,8,2.1,7,AC Voges,119,240.0,320,0.0,46.0,7.2,279,385
"13,14,15,16,17 November 2015 ",2015/16,2187,"W.A.C.A. Ground, Perth",4,KS Williamson,32,58.0,73,1,34,10.2,42,LRPL Taylor,36,35.0,53,1.0,44.0,14.5,115,104
"14,15,16,17,18 November 2015 ",2015/16,2188,"M.Chinnaswamy Stadium, Bengaluru",1,F du Plessis,0,3.0,5,0,15,7.2,37,HM Amla (c),7,18.0,33,0.0,15.0,7.5,118,214
"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,CA Pujara,21,43.0,64,0,50,13.6,68,V Kohli (c),22,55.0,73,0.0,69.0,21.2,97,215
"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,Imran Tahir,4,12.0,11,0,4,3.1,14,HM Amla (c),1,10.0,15,0.0,9.0,6.5,36,79
"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,CA Pujara,31,45.0,57,0,8,4.2,19,V Kohli (c),16,30.0,49,0.0,52.0,17.3,120,173
"25,26,27 November 2015 ",2015/16,2189,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",4,Imran Tahir,8,7.0,12,0,17,7.4,30,HM Amla (c),39,167.0,219,0.0,29.0,11.1,68,185
"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,1,KS Williamson,22,58.0,85,0,7,3.2,15,LRPL Taylor,21,25.0,41,0.0,59.0,23.4,136,202
"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,2,SPD Smith (c),53,114.0,188,0,6,3.2,13,AC Voges,13,42.0,46,0.0,34.0,13.1,201,224
"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,3,KS Williamson,9,24.0,34,0,29,12.3,52,LRPL Taylor,32,32.0,69,0.0,32.0,14.6,64,208
"27,28,29 November 2015 - day/night match ",2015/16,2190,Adelaide Oval,4,SPD Smith (c),14,24.0,35,0,34,5.3,24,AC Voges,28,45.0,80,0.0,62.0,12.1,54,187
"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",1,CA Pujara,14,37.0,54,0,30,16.2,84,V Kohli (c),44,62.0,74,0.0,62.0,28.5,132,334
"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",2,HM Amla (c),3,34.0,44,0,36,14.3,72,AB de Villiers,42,78.0,121,0.0,40.0,19.6,92,121
"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",3,RG Sharma,0,1.0,7,0,4,4.6,24,CA Pujara,28,79.0,110,0.0,8.0,6.1,133,267
"3,4,5,6,7 December 2015 ",2015/16,2191,"Arun Jaitley Stadium, Delhi",4,HM Amla (c),25,244.0,289,0,5,3.6,16,AB de Villiers,43,297.0,354,0.0,49.0,42.4,305,143
"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",1,KS Williamson,88,123.0,171,0,56,15.6,71,LRPL Taylor,8,12.0,14,0.0,229.0,54.5,370,431
"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",2,MDUS Jayasundera,1,6.0,18,0,19,8.6,37,LD Chandimal †,83,209.0,283,0.0,29.0,12.5,253,294
"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",3,KS Williamson,71,115.0,145,0,79,26.2,118,LRPL Taylor,15,16.0,29,0.0,220.0,58.4,304,267
"10,11,12,13,14 December 2015 ",2015/16,2192,"University Oval, Dunedin",4,MDUS Jayasundera,3,15.0,25,0,54,26.2,110,LD Chandimal †,58,132.0,174,0.0,64.0,32.3,209,282
"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",1,SPD Smith (c),10,32.0,41,0,75,10.6,57,AC Voges,269,285.0,410,1.0,104.0,19.3,117,583
"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",2,DM Bravo,108,177.0,254.0,0,17,8.3,35.0,MN Samuels,9,14.0,23.0,0.0,58.0,19.3,289.0,223
"10,11,12 December 2015 ",2015/16,2193,"Bellerive Oval, Hobart",3,DM Bravo,4,13.0,19.0,0,2,1.3,7.0,MN Samuels,3,6.0,8.0,0.0,20.0,5.6,165.0,148
"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",1,MDUS Jayasundera,26,54.0,79,0,39,13.4,56,LD Chandimal †,47,56.0,82,0.0,44.0,15.4,135,292
"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",2,KS Williamson,1,4.0,7,0,81,22.5,99,LRPL Taylor,0,5.0,15,0.0,83.0,24.2,112,237
"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",3,MDUS Jayasundera,0,2.0,2,0,71,22.4,111,LD Chandimal †,4,10.0,17,0.0,71.0,22.6,145,133
"18,19,20,21 December 2015 ",2015/16,2194,"Seddon Park, Hamilton",4,KS Williamson,108,164.0,245,1,4,2.3,15,LRPL Taylor,35,53.0,91,0.0,11.0,4.5,260,189
"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,1,UT Khawaja,144,227.0,331,0,29,4.1,20,SPD Smith (c),134,177.0,244,1.0,287.0,73.2,351,551
"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,2,DM Bravo,81,204.0,363,0,35,15.1,58,MN Samuels,0,3.0,6,0.0,50.0,23.5,421,271
"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,3,UT Khawaja,56,61.0,100,0,7,1.5,10,SPD Smith (c),70,70.0,93,1.0,46.0,10.3,110,179
"26,27,28,29 December 2015 ",2015/16,2195,Melbourne Cricket Ground,4,DM Bravo,21,61.0,93,0,35,11.3,46,MN Samuels,19,49.0,77,0.0,83.0,33.4,165,282
"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",1,NRD Compton,85,236.0,383,0,3,2.5,11,JE Root,24,37.0,55,0.0,12.0,6.5,394,303
"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",2,HM Amla (c),7,24.0,31,0,0,0.2,1,AB de Villiers †,49,79.0,123,0.0,14.0,6.3,386,214
"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",3,NRD Compton,49,116.0,171,0,13,9.2,38,JE Root,73,128.0,192,0.0,48.0,25.3,209,326
"26,27,28,29,30 December 2015 ",2015/16,2196,"Kingsmead, Durban",4,HM Amla (c),12,23.0,36,0,53,10.5,51,AB de Villiers †,37,86.0,122,0.0,85.0,20.2,99,174
"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",1,NRD Compton,45,105.0,161,0,55,16.3,78,JE Root,50,79.0,113,0.0,129.0,43.5,190,629
"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",2,HM Amla (c),201,477.0,707,0,7,2.3,11,AB de Villiers,88,211.0,298,0.0,85.0,24.5,718,627
"2,3,4,5,6 January 2016 ",2015/16,2197,"Newlands, Cape Town",3,NRD Compton,15,60.0,107,0,17,7.2,35,JE Root,29,29.0,50,0.0,19.0,8.6,142,159
"3,4,5,6,7 January 2016 ",2015/16,2198,Sydney Cricket Ground,1,DM Bravo,33,95.0,113,0,13,4.3,19,MN Samuels,4,20.0,24,0.0,104.0,34.4,225,330
"3,4,5,6,7 January 2016 ",2015/16,2198,Sydney Cricket Ground,2,MR Marsh,21,63.0,53,0,100,15.6,73,PM Nevill †,7,21.0,21,1.0,154.0,31.6,150,176
"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",1,HM Amla,40,90.0,123,0,44,17.3,78,AB de Villiers (c),36,40.0,61,0.0,117.0,41.2,188,313
"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",2,NRD Compton,26,68.0,93,0,10,3.5,16,JE Root,110,139.0,214,0.0,22.0,10.1,109,323
"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",3,HM Amla,5,20.0,37,0,23,7.5,34,AB de Villiers (c),0,5.0,8,0.0,28.0,11.6,53,83
"14,15,16 January 2016 ",2015/16,2199,"The Wanderers Stadium, Johannesburg",4,NRD Compton,0,2.0,7,0,64,16.6,69,JE Root,4,13.0,16,1.0,68.0,18.4,86,74
"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",1,HM Amla,109,169.0,220,0,35,10.4,44,AB de Villiers (c),0,2.0,6,0.0,237.0,63.5,320,475
"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",2,NRD Compton,19,52.0,72,0,22,5.2,20,JE Root,76,128.0,192,0.0,78.0,23.2,242,342
"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",3,HM Amla,96,199.0,333,0,5,2.2,10,AB de Villiers (c),0,2.0,2,0.0,49.0,21.1,343,248
"22,23,24,25,26 January 2016 ",2015/16,2200,"SuperSport Park, Centurion",4,NRD Compton,6,9.0,24,0,2,3.4,13,JE Root,20,56.0,70,0.0,8.0,6.2,26,101
"12,13,14,15 February 2016 ",2015/16,2201,"Basin Reserve, Wellington",1,KS Williamson,16,18.0,24,0,17,2.2,12,HM Nicholls,8,13.0,25,0.0,38.0,6.2,31,183
