Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,1,BKG Mendis,8,7.0,10,0,6,4.1,22,LD Chandimal †,15,54.0,82,0.0,15.0,5.3,49,117
"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,2,UT Khawaja,26,62.0,81,0,3,2.2,10,SPD Smith (c),30,53.0,65,0.0,7.0,3.6,91,203
"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,3,FDM Karunaratne,0,3.0,6,0,6,2.2,12,BKG Mendis,176,254.0,319,0.0,6.0,2.5,58,353
"26,27,28,29,30 July 2016 ",2016,2209,Pallekele International Cricket Stadium,4,UT Khawaja,18,22.0,25,0,2,1.2,7,SPD Smith (c),55,125.0,151,0.0,33.0,8.1,63,161
"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",1,H Masakadza,15,52.0,77,0,4,0.2,2,CR Ervine,13,42.0,68,0.0,35.0,16.4,79,164
"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",2,KS Williamson (c),91,179.0,242,0,79,25.5,121,LRPL Taylor,173,299.0,365,1.0,235.0,72.2,308,576
"28,29,30,31 July 2016 ",2016,2210,"Queens Sports Club, Bulawayo",3,BB Chari,5,6.0,5,0,7,0.4,3,CR Ervine,50,60.0,86,0.0,12.0,1.4,17,295
"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",1,DM Bravo,0,1.0,2,0,4,2.4,15,MN Samuels,37,88.0,118,0.0,4.0,2.5,34,196
"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",2,CA Pujara,46,159.0,223,0,87,19.3,100,V Kohli (c),44,90.0,144,0.0,208.0,72.2,428,500
"30, 31 July 01,02,03 August 2016 ",2016,2211,"Sabina Park, Kingston, Jamaica",3,DM Bravo,20,37.0,66,0,5,2.3,13,MN Samuels,0,5.0,5,0.0,41.0,12.6,79,388
"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",1,JE Root,3,6.0,11,0,36,9.3,42,JM Vince,39,65.0,115,0.0,48.0,11.5,88,297
"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",2,Azhar Ali,139,293.0,381,0,0,0.4,4,Younis Khan,31,90.0,149,0.0,181.0,62.2,385,400
"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",3,JE Root,62,123.0,165,0,126,38.1,167,JM Vince,42,123.0,200,0.0,126.0,39.3,176,445
"3,4,5,6,7 August 2016 ",2016,2212,"Edgbaston, Birmingham",4,Azhar Ali,38,75.0,97,0,6,5.5,26,Younis Khan,4,17.0,27,0.0,79.0,30.3,212,201
"4,5,6 August 2016 ",2016,2213,Galle International Stadium,1,MDKJ Perera,49,82.0,130,0,0,0.1,1,BKG Mendis,86,137.0,177,0.0,9.0,4.4,131,281
"4,5,6 August 2016 ",2016,2213,Galle International Stadium,2,UT Khawaja,11,44.0,54,0,0,0.2,1,SPD Smith (c),5,10.0,9,0.0,54.0,13.3,55,106
"4,5,6 August 2016 ",2016,2213,Galle International Stadium,3,MDKJ Perera,35,38.0,56,0,5,1.6,10,BKG Mendis,7,14.0,16,0.0,9.0,2.2,66,237
"4,5,6 August 2016 ",2016,2213,Galle International Stadium,4,NM Lyon,0,7.0,12,0,3,0.6,2,UT Khawaja,0,1.0,1,0.0,10.0,3.3,46,183
"6,7,8,9,10 August 2016 ",2016,2214,"Queens Sports Club, Bulawayo",1,KS Williamson (c),113,151.0,202,0,169,48.3,208,LRPL Taylor,124,173.0,240,1.0,329.0,89.5,359,582
